Brand,Model Name,Model Image,Technology,2G bands,,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,GPU,Card slot,Internal,Triple,Features,Video,Single,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Charging,Colors,Models,Price,Build,Protection,Quad,_1,_1_1,128GB 8GB RAM,Dual,32GB 2GB RAM,32GB 3GB RAM,SAR,128GB 4GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,128GB 6GB RAM,64GB 4GB RAM,8GB 1GB RAM,256GB 8GB RAM,256GB 12GB RAM,SAR EU,512GB 12GB RAM,Audio quality,64GB 3GB RAM,256GB 6GB RAM,Single_1,64GB 6GB RAM,Dual_1,Stand-by,Talk time,Infrared port,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Keyboard,Browser,Alert types,Languages,Clock,Alarm,Stand-by_1,Talk time_1,Music play
b'qtek',b'Qtek 9600',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-9600.gif',b'GSM / UMTS',b'GSM 850 / 900 / 1800 / 1900',b'Handwriting recognition',b'UMTS 850 / 1900 / 2100',,,"b'Yes, 384 kbps'","b'2006, June'",b'Discontinued',b'113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in)',b'176 g (6.21 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',,b'400 MHz Samsung',,b'microSD (dedicated slot)',"b'64MB RAM, 128MB ROM'",,b'LED flash',b'Yes',b'2 MP',,b'',b'Yes',b'No',b'Wi-Fi 802.11b/g',b'2.0',b'No',,b'No',b'1.1',b'',b'Removable Li-Po 1350 mAh battery',,b'Silver',,,,,,b'Pocket Office  Voice memo MP3/AAC player',,,,,,,,,,,,,,,,,,,,,,,b'QCIF videocall camera',,,b'Up to 300 h',b'Up to 5 h',b'Yes',,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek 8600',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-8600.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'5-way navigation button',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2006, June'",b'Discontinued',b'112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in)',b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.0% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',,b'Samsung 2442 300 MHz',,b'microSD (dedicated slot)',"b'64MB RAM, 128MB ROM'",,,b'Yes',b'1.3 MP',,b'',b'Yes',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Po 1190 mAh battery',,b'',,,,,,b'MP3/AAC player Predictive text input Organizer',,,,,,,,,,,,,,,,,,,,,,,b'Yes',,,,,b'Yes',,,,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,,,,
b'qtek',b'Qtek A9100',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-a9100.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',,,,,"b'2006, March'",b'Discontinued',b'108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in)',b'168 g (5.93 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 24.3 cm2 (~38.8% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'TI OMAP 850',b'200 MHz ARM926EJ-S',,b'miniSD',"b'64MB RAM, 128MB ROM'",,b'LED flash',b'No',b'1.3 MP',,,b'Yes',b'No',b'Wi-Fi 802.11 b/i',b'1.2',b'No',,b'No',b'miniUSB',b'',b'Removable Li-Po 1250 mAh battery',,b'Gray',,,,,,b'No',b'MP3/AAC player Predictive text input Organizer Voice memo',,,,,,,,,,,,,,,,,,,,,,,,,,,b'Yes',b'Class 10',b'Class 10',,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'",,,,,,,
b'qtek',b'Qtek 8500',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-8500.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',"b'Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels)'",,,,,"b'2006, February'",b'Discontinued',b'98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in)',b'99 g (3.49 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~29.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',b'TI OMAP 850',b'200 MHz ARM926EJ-S',,b'microSD (dedicated slot)',"b'64MB RAM, 64MB ROM'",,,b'Yes',b'1.3 MP',,,b'Yes',b'No',b'No',b'1.2',b'No',,b'No',b'1.1',b'',b'Removable Li-Ion 750 mAh battery',,b'Stylish black',,b'About 190 EUR',,,,b'No',b'Pocket Office  Voice memo MP3/AAC player Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,,,b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek S200',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-s200.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'Handwriting recognition',,,,,"b'2005, Q4'",b'Discontinued',b'108.8 x 59.3 x 18.4 mm (4.28 x 2.33 x 0.72 in)',b'150 g (5.29 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.6% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'TI OMAP 850',b'200 MHz ARM926EJ-S',,b'SD/MMC',"b'64MB RAM, 128MB ROM'",,,b'CIF',b'2 MP',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'2.0',b'No',,b'No',b'miniUSB',b'',b'Removable Li-Ion 1200 mAh battery',,b'Stylish black',,b'About 250 EUR',,,,b'No',b'Pocket Office  Voice memo MP3/AAC player',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 200 h',b'Up to 5 h',b'Yes',b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'",b'Vibration; Downloadable polyphonic ringtones',,,,,,
b'qtek',b'Qtek 9000',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-9000.gif',b'GSM / UMTS',b'GSM 900 / 1800 / 1900',b'Handwriting recognition',b'UMTS 2100',,,"b'Yes, 384 kbps'","b'2005, August'",b'Discontinued',b'131 x 79 x 21 mm (5.16 x 3.11 x 0.83 in)',b'285 g (10.05 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'3.6 inches, 73 x 55 mm, 40.1 cm2 (~38.8% screen-to-body ratio)'","b'640 x 480 pixels, 4:3 ratio (~222 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',,b'Intel XScale 520 MHz',,b'SDIO/MMC',b'64MB RAM',,,b'Yes',b'1.3 MP',,b'',"b'Yes, with stereo speakers'",b'No',b'Wi-Fi 802.11b',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Po 1620 mAh battery',,b'Stylish black',,b'About 560 EUR',,,,b'Dual speakers',b'Pocket Office  Voice memo MP3/AAC player Predictive text input',,,,,,,,,,,,,,,,,,,,,,b'VGA videocall camera',,,b'Up to 260 h',b'Up to 8 h',b'Yes',,,,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3, AAC ringtones'",,,,,,
b'qtek',b'Qtek 8310',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-8310.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',,,,,"b'2005, August'",b'Discontinued',b'107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',b'TI OMAP 850',b'200 MHz ARM926EJ-S',,b'MiniSD',"b'64MB RAM, 64/128MB ROM'",,,b'Yes',b'1.3 MP',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1150 mAh battery',,b'',,,,,,b'No',b'MP3/AAC player Predictive text input Organizer',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 250 h',b'Up to 5 h',b'Yes',b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",,,,,,
b'qtek',b'Qtek 8300',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-8300.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'5-way navigation button',,,,,"b'2005, August'",b'Discontinued',b'107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 34 x 45 mm, 15.0 cm2 (~30.3% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~182 ppi density)'",b'Microsoft Windows Mobile 5.0 Smartphone',b'TI OMAP 850',b'200 MHz ARM926EJ-S',,b'MiniSD',"b'32MB RAM, 64MB ROM'",,,b'QCIF',b'1.3 MP',,,b'Yes',b'No',b'Wi-Fi 802.11b',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1150 mAh battery',,b'',,,,,,b'No',b'MP3/AAC player Predictive text input Organizer',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 250 h',b'Up to 5 h',b'Yes',b'Class 10',b'Class 10',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek 9100',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-9100.gif',b'GSM',b'GSM 850 / 900 / 1800 / 1900',b'No',,,,,"b'2005, Q3'",b'Discontinued',b'109 x 58 x 23 mm (4.29 x 2.28 x 0.91 in)',b'160 g (5.64 oz)',b'Mini-SIM',"b'TFT resistive touchscreen, 65K colors'","b'2.8 inches, 42 x 57 mm, 24.3 cm2 (~38.4% screen-to-body ratio)'","b'240 x 320 pixels, 4:3 ratio (~143 ppi density)'",b'Microsoft Windows Mobile 5.0 PocketPC',b'TI OMAP 850',b'200 MHz ARM926EJ-S',,b'miniSD',"b'64MB RAM, 128MB ROM'",,b'LED flash',b'Yes',b'1.3 MP',,,b'Yes',b'No',b'Wi-Fi 802.11b/g',b'2.0',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Po 1250 mAh battery',,b'Stylish black',,,,,,b'Microsoft ActiveSync Pocket Office  MP3/AAC player Predictive text input',,,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 200 h',b'Up to 4 h',b'Yes',b'Class 10',b'Class 10',,,,,,b'QWERTY',"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones'",,,,,,
b'qtek',b'Qtek 8100',b'https://fdn2.gsmarena.com/vv/bigpic/qtek-8100.gif',b'GSM',b'GSM 900 / 1800 / 1900',b'5-way navigation button 3-color LED indicator Downloadable logos',,,,,"b'2005, Q1'",b'Discontinued',b'107 x 47 x 19 mm (4.21 x 1.85 x 0.75 in)',b'106 g (3.74 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~30.3% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'Microsoft Smartphone 2003 SE',b'TI OMAP 730',b'200 MHz ARM926EJ-S',,b'MiniSD',b'32MB RAM',,,b'Yes',b'VGA',,,b'Yes',b'No',b'No',b'Yes',b'No',,b'No',b'Proprietary',b'',b'Removable Li-Ion 1050 mAh battery',,b'Stylish black and silver',,,,,,b'No',b'MP3/AAC player Predictive text input Organizer',,,,,,,,,,,,,,,,,,,,,,,,,b'Up to 140 h',b'Up to 4 h 30 min',b'Yes',b'Class 10',b'No',,,,,,,"b'WAP 2.0/xHTML, HTML (PocketIE)'","b'Vibration; Downloadable polyphonic, MP3 ringtones, composer'",b'8',,,,,
